uid,datetime,latitude,longitude,altitude,vertical_velocity,ground_speed,satellites
5.70791E+15,2023-10-14T13:51:42Z,33.40983333,-105.3312333,1654.9,-0.04,0.144,9
5.70791E+15,2023-10-14T13:51:50Z,33.40985,-105.3312333,1655.4,0.22,0.216,9
5.70791E+15,2023-10-14T13:52:00Z,33.40983333,-105.3312333,1655.2,-0.09,0.108,10
5.70791E+15,2023-10-14T13:52:20Z,33.40986667,-105.33125,1655.8,0.45,0.684,9
5.70791E+15,2023-10-14T13:52:28Z,33.40983333,-105.3312333,1656.3,0.03,0.216,9
5.70791E+15,2023-10-14T13:52:39Z,33.40983333,-105.3312333,1657.3,0,0.18,9
5.70791E+15,2023-10-14T13:52:58Z,33.4099,-105.33125,1657.1,-0.02,1.188,9
5.70791E+15,2023-10-14T13:53:08Z,33.41,-105.33125,1657.3,0.35,2.448,9
5.70791E+15,2023-10-14T13:53:29Z,33.41,-105.33125,1659.1,-0.07,0.036,9
5.70791E+15,2023-10-14T13:53:33Z,33.41,-105.33125,1658.1,-0.23,0.576,9
5.70791E+15,2023-10-14T13:53:43Z,33.41001667,-105.33125,1657.3,0,0.108,8
5.70791E+15,2023-10-14T13:53:52Z,33.41001667,-105.33125,1656.5,-0.17,0.144,9
5.70791E+15,2023-10-14T13:54:27Z,33.41,-105.3312667,1655.7,0.06,0.972,10
5.70791E+15,2023-10-14T13:54:36Z,33.41,-105.3312667,1656,0.03,0.216,10
5.70791E+15,2023-10-14T13:55:06Z,33.40998333,-105.3312667,1656.7,0.01,0.108,10
5.70791E+15,2023-10-14T13:56:00Z,33.41001667,-105.33125,1656.6,-0.06,0.108,11
5.70791E+15,2023-10-14T13:56:15Z,33.41001667,-105.3312333,1656.6,0.27,0.324,12
5.70791E+15,2023-10-14T13:56:20Z,33.41001667,-105.33125,1656.6,0,2.736,12
5.70791E+15,2023-10-14T13:56:28Z,33.41001667,-105.33125,1655.9,0.09,0.252,12
