Time (s),System Output,ControllerOutput
0,6011,0
1,6049,0
2,6052,0
3,6061,0
4,6042,0
5,6066,0
6,6053,0
7,6041,0
8,6032,0
9,6069,0
10,6046,0
11,6031,0
12,6026,0
13,6057,0
14,6033,0
15,6019,0
16,6067,0
17,6024,0
18,6016,0
19,6026,0
20,6055,0
21,6079,0
22,6101,0
23,6078,0
24,6091,0
25,6077,0
26,6112,0
27,6138,0
28,6158,0
29,6150,0
30,6124,2
31,6133,0
32,6110,0
33,6121,0
34,6147,0
35,6111,0
36,6153,0
37,6189,0
38,6213,0
39,6181,0
40,6215,0
41,6211,0
42,6237,0
43,6278,0
44,6286,0
45,6328,0
46,6303,0
47,6264,0
48,6296,0
49,6330,0
50,6376,0
51,6377,0
52,6337,0
53,6325,0
54,6331,0
55,6348,0
56,6311,0
57,6316,0
58,6305,0
59,6261,0
60,6234,0
61,6281,0
62,6287,5
63,6265,0
64,6216,0
65,6157,0
66,6115,0
67,6036,0
68,6046,0
69,6034,0
70,6069,0
71,6020,0
72,6045,0
73,6002,0
74,6000,0
75,5991,0
76,5942,0
77,5898,0
78,5884,0
79,5848,0
80,5800,0
81,5795,0
82,5772,0
83,5758,0
84,5755,0
85,5788,0
86,5814,0
87,5859,0
88,5849,0
89,5877,0
90,5895,0
91,5897,0
92,5899,0
93,5861,0
94,5887,0
95,5927,0
96,5877,0
97,5839,5
98,5797,0
99,5782,0
100,5810,0
101,5831,0
102,5847,0
103,5834,0
104,5869,0
105,5903,0
106,5902,0
107,5914,0
108,5940,0
109,5926,0
110,5942,0
111,5898,0
112,5937,0
113,5917,0
114,5889,0
115,5890,0
116,5936,0
117,5970,0
118,6017,0
119,6013,0
120,5999,0
121,5983,0
122,5991,0
123,5952,0
124,5987,0
125,5970,0
126,6010,0
127,5979,0
128,5936,0
129,5961,0
130,5959,0
131,5994,0
132,5976,5
133,6002,0
134,5968,0
135,5963,0
136,5962,0
137,5910,0
138,5921,0
139,5956,0
140,5921,0
141,5920,0
142,5923,0
143,5892,0
144,5855,0
145,5854,0
146,5853,0
147,5816,0
148,5817,0
149,5820,0
150,5787,0
151,5759,0
152,5770,0
153,5736,0
154,5776,0
155,5775,0
156,5753,0
157,5764,0
158,5776,0
159,5816,0
160,5847,0
161,5841,0
162,5825,0
163,5780,0
164,5764,0
165,5714,0
166,5676,0
167,5670,4
168,5701,0
169,5692,0
170,5660,0
171,5644,0
172,5673,0
173,5660,0
174,5615,0
175,5625,0
176,5608,0
177,5633,0
178,5594,0
179,5617,0
180,5662,0
181,5673,0
182,5708,0
183,5740,0
184,5772,0
185,5741,0
186,5775,0
187,5805,0
188,5757,0
189,5744,0
190,5788,0
191,5759,0
192,5783,0
193,5807,0
194,5833,0
195,5846,0
196,5850,0
197,5835,0
198,5859,0
199,5841,0
200,5885,0
201,5908,4
202,5918,0
203,5869,0
204,5873,0
205,5816,0
206,5864,0
207,5910,0
208,5915,0
209,5904,0
210,5950,0
211,5922,0
212,5877,0
213,5913,0
214,5915,0
215,5891,0
216,5859,0
217,5848,0
218,5812,0
219,5828,0
220,5846,0
221,5873,0
222,5919,0
223,5915,0
224,5953,0
225,5923,0
226,5900,0
227,5925,0
228,5909,0
229,5900,0
230,5857,0
231,5869,0
232,5834,0
233,5857,0
234,5881,0
235,5850,4
236,5863,0
237,5828,0
238,5785,0
239,5746,0
240,5785,0
241,5778,0
242,5754,0
243,5741,0
244,5754,0
245,5711,0
246,5761,0
247,5729,0
248,5757,0
249,5787,0
250,5836,0
251,5874,0
252,5897,0
253,5926,0
254,5901,0
255,5906,0
256,5861,0
257,5888,0
258,5841,0
259,5862,0
260,5903,0
261,5865,0
262,5909,0
263,5936,0
264,5900,0
265,5871,0
266,5917,0
267,5894,0
268,5900,0
269,5938,4
270,5920,0
271,5914,0
272,5903,0
273,5823,0
274,5847,0
275,5834,0
276,5788,0
277,5785,0
278,5770,0
279,5764,0
280,5725,0
281,5723,0
282,5737,0
283,5775,0
284,5795,0
285,5807,0
286,5855,0
287,5881,0
288,5913,0
289,5883,0
290,5907,0
291,5953,0
292,5938,0
293,5899,0
294,5932,0
295,5927,0
296,5957,0
297,5982,0
298,5957,0
299,5911,0
300,5914,0
301,5928,0
302,5891,0
303,5844,4
304,5834,0
305,5862,0
306,5848,0
307,5817,0
308,5830,0
309,5857,0
310,5836,0
311,5818,0
312,5823,0
313,5851,0
314,5829,0
315,5869,0
316,5842,0
317,5865,0
318,5885,0
319,5842,0
320,5844,0
321,5867,0
322,5832,0
323,5810,0
324,5789,0
325,5787,0
326,5779,0
327,5772,0
328,5795,0
329,5843,0
330,5807,0
331,5815,0
332,5860,0
333,5881,0
334,5845,0
335,5872,0
336,5881,0
337,5881,4
338,5892,0
339,5819,0
340,5811,0
341,5784,0
342,5745,0
343,5772,0
344,5759,0
345,5766,0
346,5781,0
347,5831,0
348,5799,0
349,5805,0
350,5768,0
351,5797,0
352,5819,0
353,5840,0
354,5805,0
355,5773,0
356,5805,0
357,5804,0
358,5834,0
359,5841,0
360,5847,0
361,5856,0
362,5857,0
363,5897,0
364,5945,0
365,5919,0
366,5882,0
367,5844,0
368,5871,0
369,5888,0
370,5874,0
371,5894,4
372,5907,0
373,5871,0
374,5827,0
375,5836,0
376,5837,0
377,5884,0
378,5868,0
379,5917,0
380,5922,0
381,5914,0
382,5918,0
383,5944,0
384,5961,0
385,5934,0
386,5957,0
387,5921,0
388,5884,0
389,5896,0
390,5853,0
391,5836,0
392,5870,0
393,5873,0
394,5887,0
395,5902,0
396,5916,0
397,5924,0
398,5950,0
399,5964,0
400,5930,0
401,5931,0
402,5968,0
403,6001,0
404,5969,0
405,5952,4
406,5950,0
407,5946,0
408,5980,0
409,5937,0
410,5893,0
411,5883,0
412,5889,0
413,5876,0
414,5908,0
415,5930,0
416,5929,0
417,5937,0
418,5980,0
419,5948,0
420,5954,0
421,5997,0
422,5961,0
423,5924,0
424,5950,0
425,5912,0
426,5903,0
427,5911,0
428,5922,0
429,5914,0
430,5918,0
431,5950,0
432,5919,0
433,5951,0
434,5947,0
435,5951,0
436,5928,0
437,5884,0
438,5880,0
439,5890,4
440,5861,0
441,5805,0
442,5808,0
443,5816,0
444,5797,0
445,5750,0
446,5775,0
447,5813,0
448,5858,0
449,5816,0
450,5772,0
451,5728,0
452,5758,0
453,5730,0
454,5700,0
455,5733,0
456,5781,0
457,5770,0
458,5725,0
459,5704,0
460,5716,0
461,5699,0
462,5702,0
463,5659,0
464,5619,0
465,5654,0
466,5655,0
467,5615,0
468,5566,0
469,5595,0
470,5642,0
471,5672,0
472,5633,0
473,5590,4
474,5556,0
475,5537,0
476,5541,0
