Time (s),Altitude,Controller Output,Ascent Rate (m/s),Filtered Ascent Rate (m/s)
0,6006,0,6006,120
1,12390,0,6384,244
2,19873,0,7483,388
3,25631,0,5758,495
4,31644,0,6013,605
5,40170,0,8526,762
6,47154,0,6984,885
7,52508,0,5354,974
8,56641,0,4133,1036
9,61131,0,4490,1104
10,68078,0,6947,1219
11,73793,0,5715,1308
12,79833,0,6040,1401
13,85787,0,5954,1491
14,91467,0,5680,1574
15,97033,0,5566,1653
16,105690,0,8657,1792
17,108235,0,2545,1806
18,112176,0,3941,1847
19,117824,0,5648,1922
20,125012,0,7188,2026
21,131581,0,6569,2116
22,135314,0,3733,2147
23,142902,0,7588,2255
24,146844,0,3942,2287
25,150986,0,4142,2323
26,156877,0,5891,2393
27,162363,0,5486,2454
28,167561,0,5198,2507
29,170791,0,3230,2520
30,175842,0,5051,2570
31,183202,0,7360,2665
32,188932,0,5730,2725
33,198284,0,9352,2857
34,202641,0,4357,2886
35,208973,0,6332,2954
36,214171,0,5198,2997
37,219310,0,5139,3039
38,225324,0,6014,3098
39,229080,0,3756,3111
40,234083,0,5003,3148
41,239837,0,5754,3200
42,246371,0,6534,3266
43,253035,0,6664,3333
44,262082,0,9047,3446
45,268304,0,6222,3501
46,271521,0,3217,3494
47,278830,0,7309,3570
48,284426,0,5596,3609
49,292305,0,7879,3693
50,298287,0,5982,3738
51,301179,0,2892,3720
52,308336,0,7157,3788
53,313830,0,5494,3821
54,319448,0,5618,3856
55,323907,0,4459,3867
56,329524,0,5617,3901
57,335650,0,6126,3944
58,341651,0,6001,3985
59,348664,0,7013,4045
60,353758,0,5094,4065
61,358207,0,4449,4071
62,362537,0,4330,4075
63,368713,0,6176,4116
64,370970,0,2257,4078
65,380092,0,9122,4178
66,384618,0,4526,4184
67,391715,0,7097,4241
68,397221,0,5506,4266
69,403026,0,5805,4296
70,408888,0,5862,4327
71,412956,0,4068,4321
72,422272,0,9316,4420
73,429327,0,7055,4472
74,432104,0,2777,4437
75,435667,0,3563,4419
76,439459,0,3792,4405
77,446475,0,7016,4456
78,452502,0,6027,4486
79,460037,0,7535,4546
80,466236,0,6199,4578
81,470041,0,3805,4562
82,475719,0,5678,4583
83,482013,0,6294,4616
84,486225,0,4212,4607
85,491334,0,5109,4616
86,496374,0,5040,4623
87,500576,0,4202,4614
88,509501,0,8925,4699
89,519037,0,9536,4795
90,523039,0,4002,4779
91,530452,0,7413,4831
92,537699,0,7247,4878
93,541593,0,3894,4857
94,546306,0,4713,4853
95,550644,0,4338,4841
96,556911,0,6267,4869
97,559949,0,3038,4831
98,566080,0,6131,4856
99,571561,0,5481,4867
100,575548,0,3987,4848
101,581554,0,6006,4871
102,586587,0,5033,4873
103,592832,0,6245,4899
104,600292,0,7460,4950
105,607010,0,6718,4985
106,613701,0,6691,5018
107,620071,0,6370,5044
108,624089,0,4018,5023
109,631148,0,7059,5063
110,639630,0,8482,5130
111,645798,0,6168,5150
112,650943,0,5145,5149
113,657613,0,6670,5179
114,666555,0,8942,5253
115,671882,0,5327,5253
116,681362,0,9480,5336
117,686006,0,4644,5321
118,692250,0,6244,5338
119,698477,0,6227,5355
120,704170,0,5693,5360
121,709273,0,5103,5354
122,711848,0,2575,5297
123,717621,0,5773,5306
124,723724,0,6103,5321
125,731132,0,7408,5362
126,734003,0,2871,5311
127,740357,0,6354,5331
128,746736,0,6379,5351
129,750049,0,3313,5309
130,754642,0,4593,5293
131,761886,0,7244,5331
132,767718,0,5832,5340
133,771043,0,3325,5299
134,776895,0,5852,5310
135,783458,0,6563,5334
136,793278,0,9820,5423
137,798931,0,5653,5427
138,806392,0,7461,5467
139,811175,0,4783,5452
140,819445,0,8270,5507
141,823277,0,3832,5472
142,830380,0,7103,5504
143,835366,0,4986,5492
144,843068,0,7702,5536
145,846864,0,3796,5500
146,854644,0,7780,5545
147,864227,0,9583,5625
148,868129,0,3902,5590
149,873883,0,5754,5593
150,880777,0,6894,5618
151,887780,0,7003,5645
152,896523,0,8743,5706
153,902437,0,5914,5709
154,907298,0,4861,5691
155,915736,0,8438,5745
156,921230,0,5494,5739
157,928525,0,7295,5769
158,932660,0,4135,5735
159,937434,0,4774,5715
160,944384,0,6950,5739
161,949628,0,5244,5728
162,954948,0,5320,5719
163,960491,0,5543,5714
164,967645,0,7154,5742
165,975030,0,7385,5774
166,983041,0,8011,5818
167,990997,0,7956,5860
168,996233,0,5236,5846
169,1005705,0,9472,5918
170,1013117,0,7412,5947
171,1019503,0,6386,5955
172,1025505,0,6002,5955
173,1034639,0,9134,6017
174,1040804,0,6165,6019
175,1043340,0,2536,5948
176,1049362,0,6022,5949
177,1054416,0,5054,5931
178,1060479,0,6063,5933
179,1069242,0,8763,5989
180,1074674,0,5432,5977
181,1079603,0,4929,5955
182,1085669,0,6066,5956
183,1094449,0,8780,6011
184,1098368,0,3919,5968
185,1107911,0,9543,6038
186,1113353,0,5442,6025
187,1121293,0,7940,6062
188,1125831,0,4538,6030
189,1131791,0,5960,6028
190,1136370,0,4579,5998
191,1144221,0,7851,6035
192,1154178,0,9957,6113
193,1159440,0,5262,6095
194,1168514,0,9074,6154
195,1174955,0,6441,6158
196,1181684,0,6729,6168
197,1187725,0,6041,6164
198,1193047,0,5322,6146
199,1199102,0,6055,6144
200,1204263,0,5161,6124
201,1209134,0,4871,6098
202,1214921,0,5787,6091
203,1220881,0,5960,6088
204,1227396,0,6515,6096
205,1234234,0,6838,6110
206,1241691,0,7457,6136
207,1245883,0,4192,6096
208,1250858,0,4975,6073
209,1257997,0,7139,6093
210,1262113,0,4116,6053
211,1270501,0,8388,6098
212,1272697,0,2196,6019
213,1277852,0,5155,6001
214,1283839,0,5987,5999
215,1290613,0,6774,6014
216,1296909,0,6296,6018
217,1299906,0,2997,5956
218,1307230,0,7324,5982
219,1313197,0,5967,5981
220,1316825,0,3628,5933
221,1324746,0,7921,5972
222,1328631,0,3885,5929
223,1333689,0,5058,5911
224,1337096,0,3407,5860
225,1341028,0,3932,5820
226,1345517,0,4489,5792
227,1350603,0,5086,5777
228,1356145,0,5542,5771
229,1361813,0,5668,5768
230,1367666,0,5853,5769
231,1372889,0,5223,5757
232,1378639,0,5750,5756
233,1382622,0,3983,5719
234,1388655,0,6033,5724
235,1394736,0,6081,5730
236,1402493,0,7757,5770
237,1407222,0,4729,5748
238,1414115,0,6893,5770
239,1417693,0,3578,5725
240,1423805,0,6112,5732
241,1426865,0,3060,5678
242,1432953,0,6088,5685
243,1438622,0,5669,5684
244,1447010,0,8388,5737
245,1454468,0,7458,5771
246,1457937,0,3469,5724
247,1465007,0,7070,5750
248,1469370,0,4363,5722
249,1475434,0,6064,5728
250,1481695,0,6261,5738
251,1487158,0,5463,5732
252,1493113,0,5955,5736
253,1497013,0,3900,5699
254,1503171,0,6158,5708
255,1509310,0,6139,5715
256,1513487,0,4177,5683
257,1521731,0,8244,5733
258,1527803,0,6072,5739
259,1534509,0,6706,5758
260,1538822,0,4313,5728
261,1546243,0,7421,5761
262,1553080,0,6837,5781
263,1559061,0,5981,5784
264,1563012,0,3951,5747
265,1572127,0,9115,5814
266,1579045,0,6918,5835
267,1585055,0,6010,5838
268,1591117,0,6062,5842
269,1596603,0,5486,5834
270,1603845,0,7242,5861
271,1612299,0,8454,5912
272,1616338,0,4039,5873
273,1622188,0,5850,5872
274,1629096,0,6908,5892
275,1637454,0,8358,5941
276,1644010,0,6556,5953
277,1650073,0,6063,5954
278,1658742,0,8669,6007
279,1667341,0,8599,6057
280,1672195,0,4854,6032
281,1678297,0,6102,6033
282,1680641,0,2344,5958
283,1689108,0,8467,6007
284,1695754,0,6646,6018
285,1701700,0,5946,6015
286,1708384,0,6684,6027
287,1714475,0,6091,6027
288,1719864,0,5389,6013
289,1722976,0,3112,5954
290,1728328,0,5352,5941
291,1733741,0,5413,5930
292,1737383,0,3642,5883
293,1742345,0,4962,5864
294,1748995,0,6650,5879
295,1754007,0,5012,5861
296,1757489,0,3482,5812
297,1765518,0,8029,5855
298,1770265,0,4747,5831
299,1776363,0,6098,5835
300,1782072,0,5709,5832
301,1789794,0,7722,5869
302,1793817,0,4023,5831
303,1800884,0,7067,5855
304,1808251,0,7367,5884
305,1814909,0,6658,5899
306,1820860,0,5951,5900
307,1825749,0,4889,5879
308,1831153,0,5404,5869
309,1838858,0,7705,5905
310,1846814,0,7956,5945
311,1854250,0,7436,5974
312,1858338,0,4088,5935
313,1866276,0,7938,5974
314,1872176,0,5900,5972
315,1879635,0,7459,6001
316,1886016,0,6381,6007
317,1894902,0,8886,6063
318,1900641,0,5739,6055
319,1905829,0,5188,6036
320,1913113,0,7284,6060
321,1919189,0,6076,6059
322,1923776,0,4587,6028
323,1929488,0,5712,6021
324,1937891,0,8403,6068
325,1944879,0,6988,6085
326,1953844,0,8965,6142
327,1960080,0,6236,6143
328,1968536,0,8456,6189
329,1974174,0,5638,6177
330,1982272,0,8098,6214
331,1990000,0,7728,6243
332,1996573,0,6573,6249
333,1998929,0,2356,6171
334,2003181,0,4252,6132
335,2005416,0,2235,6053
336,2009611,0,4195,6014
337,2016232,0,6621,6025
338,2022334,0,6102,6026
339,2026730,0,4396,5992
340,2035061,0,8331,6038
341,2041188,0,6127,6039
342,2049196,0,8008,6078
343,2053484,0,4288,6041
344,2060534,0,7050,6061
345,2067518,0,6984,6078
346,2074344,0,6826,6092
347,2082848,0,8504,6140
348,2089874,0,7026,6157
349,2094738,0,4864,6130
350,2099572,0,4834,6103
351,2103817,0,4245,6064
352,2109749,0,5932,6060
353,2113752,0,4003,6018
354,2121709,0,7957,6056
355,2129791,0,8082,6095
356,2133665,0,3874,6050
357,2139401,0,5736,6043
358,2143956,0,4555,6013
359,2152739,0,8783,6067
360,2156240,0,3501,6015
361,2164218,0,7978,6053
362,2170550,0,6332,6057
363,2176451,0,5901,6053
364,2179129,0,2678,5984
365,2184863,0,5734,5978
366,2192397,0,7534,6008
367,2197375,0,4978,5986
368,2205141,0,7766,6021
369,2215025,0,9884,6097
370,2218795,0,3770,6050
371,2224794,0,5999,6048
372,2231109,0,6315,6053
373,2236562,0,5453,6040
374,2243381,0,6819,6055
375,2248822,0,5441,6041
376,2256016,0,7194,6063
377,2262446,0,6430,6069
378,2267666,0,5220,6051
379,2276654,0,8988,6108
380,2282712,0,6058,6106
381,2290833,0,8121,6145
382,2296590,0,5757,6137
383,2305557,0,8967,6193
384,2311690,0,6133,6191
385,2321776,0,10086,6268
386,2328193,0,6417,6270
387,2333836,0,5643,6256
388,2338365,0,4529,6220
389,2341887,0,3522,6165
390,2348566,0,6679,6174
391,2356984,0,8418,6218
392,2361911,0,4927,6191
393,2367581,0,5670,6180
394,2373031,0,5450,6165
