Time (s),Alt (m),aRate (m/s)
4388,98.11,0.04
4389,98.32,0.08
4390,98.14,0.00
4391,98.06,0.03
4392,98.10,0.04
4393,97.97,-0.04
4394,97.73,0.00
4395,97.66,-0.04
4396,97.77,-0.02
4397,97.75,0.00
4398,97.85,0.00
4399,97.90,-0.03
4400,97.92,-0.03
4401,98.15,0.14
4402,98.39,0.00
4403,98.43,-0.06
4404,98.41,0.01
4405,98.33,-0.12
4406,98.36,-0.13
4407,98.36,-0.01
4408,98.52,0.02
4409,98.53,0.05
4410,98.57,0.08
4411,98.75,0.10
4412,98.99,-0.03
4413,99.07,0.02
4414,98.93,-0.05
4415,99.09,-0.01
4416,99.26,0.02
4417,99.44,0.04
4418,99.57,0.02
4419,99.52,0.01
4420,99.62,0.01
4421,99.65,0.07
4422,99.68,-0.01
4423,99.62,-0.03
4424,99.42,-0.01
4425,99.43,-0.01
4426,99.38,-0.03
4427,99.30,0.04
4428,99.30,0.03
4429,99.28,-0.06
4430,99.21,-0.09
4431,99.20,0.01
4432,99.45,-0.06
4433,99.36,-0.20
4434,99.48,-0.06
4435,99.76,0.03
4436,99.81,-0.05
4437,99.90,-0.04
4438,100.13,0.01
4439,100.21,0.08
4440,100.27,0.11
4441,100.22,-0.01
4442,100.35,-0.05
4443,100.30,-0.01
4444,100.23,-0.08
4445,100.31,-0.02
4446,100.16,-0.03
4447,100.18,0.00
4448,100.32,-0.03
4449,100.55,0.08
4450,100.78,0.06
4451,100.86,0.06
4452,100.92,-0.03
4453,100.77,-0.21
4454,100.59,-0.14
4455,100.40,-0.10
4456,100.28,-0.01
4457,100.51,0.08
4458,100.72,0.15
4459,100.42,0.07
4460,99.78,-0.01
4461,99.71,-0.17
4462,99.71,-0.03
4463,99.58,-0.14
4464,99.57,-0.12
4465,99.59,-0.08
4466,99.49,0.03
4467,99.27,-0.03
4468,99.38,0.06
4469,99.24,-0.07
4470,98.87,-0.17
4471,98.56,-0.06
4472,98.23,-0.13
4473,98.03,-0.09
4474,97.92,-0.09
4475,98.05,-0.08
4476,98.40,-0.02
4477,99.03,0.02
4478,99.16,0.01
4479,99.02,-0.02
4480,99.04,-0.11
4481,99.02,-0.07
4482,98.83,-0.01
4483,98.59,-0.07
4484,98.56,-0.12
4485,98.94,0.03
4486,98.89,-0.03
4487,98.87,-0.02
4488,99.03,0.02
4489,99.15,0.03
4490,99.08,0.04
4491,99.02,0.03
4492,98.87,0.09
4493,99.20,0.02
4494,98.93,-0.06
4495,98.64,-0.01
4496,98.50,0.02
4497,98.49,0.00
4498,98.39,0.01
4499,98.23,0.03
4500,98.38,0.01
4501,98.32,0.09
4502,98.52,0.08
4503,98.58,-0.04
4504,98.77,-0.01
4505,98.86,-0.06
4506,98.80,-0.12
4507,98.96,0.00
4508,98.99,-0.03
4509,98.90,-0.08
4510,98.69,-0.02
4511,98.82,-0.15
4512,98.94,0.07
4513,99.14,0.01
4514,98.66,-0.14
4515,98.50,-0.15
4516,98.33,-0.19
4517,98.81,-0.16
4518,98.73,-0.11
4519,98.97,0.03
4520,98.94,-0.02
4521,98.96,-0.03
4522,99.05,0.03
4523,98.79,0.01
4524,99.01,0.00
4525,99.28,0.06
4526,99.62,0.00
4527,99.97,0.01
4528,100.46,0.09
4529,100.90,-0.02
4530,101.29,0.04
4531,101.50,0.04
4532,101.75,0.13
4533,101.86,0.00
4534,102.15,0.03
4535,102.43,0.00
4536,102.73,-0.04
4537,102.95,0.03
4538,103.22,-0.03
4539,103.49,0.03
4540,103.76,-0.02
4541,103.83,-0.01
4542,104.02,0.07
4543,104.00,0.00
4544,103.93,-0.04
4545,103.90,-0.04
4546,103.78,0.04
4547,103.97,0.06
4548,103.97,0.01
4549,103.94,-0.08
4550,104.72,-0.06
4551,105.54,-0.07
4552,105.55,0.03
4553,105.36,-0.03
4554,106.01,0.00
4555,106.83,-0.02
4556,108.33,0.03
4557,109.55,0.25
4558,109.79,0.10
4559,109.75,0.13
4560,110.23,0.15
4561,111.11,0.04
4562,111.27,0.07
4563,111.47,0.13
4564,111.68,0.06
4565,111.94,-0.20
4566,112.00,0.00
4567,111.93,-0.19
4568,112.10,-0.12
4569,111.57,0.03
4570,111.54,0.08
4571,111.34,0.02
4572,110.93,-0.09
4573,109.84,-0.08
4574,109.07,-0.08
4575,108.30,0.12
4576,107.29,-0.18
4577,106.08,-0.08
4578,105.61,0.02
4579,105.00,-0.08
4580,104.55,0.05
4581,104.31,0.13
4582,103.29,-0.10
4583,103.08,0.10
4584,102.73,0.00
4585,102.39,0.03
4586,101.91,-0.11
4587,101.42,0.03
4588,101.25,0.01
4589,101.03,0.08
4590,100.77,0.02
4591,100.80,0.01
4592,100.49,0.07
4593,100.44,0.00
4594,99.90,0.04
4595,99.95,-0.05
4596,99.83,0.01
4597,99.73,0.07
4598,99.69,0.08
4599,99.59,0.05
4600,99.47,0.03
4601,99.37,0.02
4602,99.40,-0.05
4603,99.16,0.05
4604,99.04,-0.01
4605,99.11,-0.04
4606,99.20,-0.01
4607,99.30,0.02
4608,99.46,0.03
4609,99.53,0.16
4610,99.54,0.03
4611,99.62,-0.02
4612,99.62,0.04
4613,99.70,0.00
4614,99.54,-0.01
4615,99.43,-0.01
4616,99.33,-0.02
4617,98.85,0.03
4618,98.87,0.22
4619,98.61,-0.03
4620,98.61,-0.03
4621,98.55,-0.04
4622,98.41,0.02
4623,98.18,0.03
4624,98.09,-0.02
